identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
791178,,2024-08-27,,Nkg,Varginha/MG,Tetis Dry,0.0,44,43,12.0,129.0,2024-08-27,2024-10-10,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
791179,,2024-10-09,,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,0.0,36,6,8.0,72.0,2024-10-09,2024-11-14,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791180,,2024-05-08,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,58,3,,,2024-05-08,2024-07-05,2024-07-08,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791181,,2024-04-05,,Nkg,Varginha/MG,Tetis Dry,0.0,116,0,,,2024-04-05,2024-07-30,2024-07-30,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791183,,2024-11-08,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,5.0,36,,,,2024-11-13,2024-12-19,,,,,,No destino,Fora do Prazo,,,
791187,,2024-10-18,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-18,,,,,,,Em viagem,Fora do Prazo,,,
791188,,2024-05-13,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,85,108,12.0,235.0,2024-05-13,2024-08-06,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
791189,,2024-08-25,,Nkg,Varginha/MG,Tetis Dry,0.0,43,10,,,2024-08-25,2024-10-07,2024-10-17,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791191,,2024-10-17,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-17,,,,,,,Em viagem,Fora do Prazo,,,
791193,,2024-08-28,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,72,,,,2024-08-28,2024-11-08,,,,,,No destino,Fora do Prazo,,,
791195,,2024-09-23,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-09-23,,,,,,,Em viagem,Fora do Prazo,,,
791197,,2024-10-11,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-10-11,,,,,,,Em viagem,Fora do Prazo,,,
791198,,2024-10-21,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-21,,,,,,,Em viagem,Fora do Prazo,,,
791201,,2024-11-11,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-11-11,,,,,,,Em viagem,Fora do Prazo,,,
791202,,2024-11-11,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Fora do Prazo,,,
791204,,2024-11-13,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,,,,,2024-11-13,,,,,,,Em viagem,Fora do Prazo,,,
791206,,2024-08-28,,Nkg,Varginha/MG,Tetis Dry,0.0,79,0,,,2024-08-28,2024-11-15,2024-11-15,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791207,,2024-10-07,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,56,17,,,2024-10-07,2024-12-02,2024-12-19,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791210,,2024-11-13,,AltoCafezal,Patrocinio/MG,Tetis Dry,0.0,36,,,,2024-11-13,2024-12-19,,,,,,No destino,Fora do Prazo,,,
791211,,2024-08-28,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,94,2,,,2024-08-28,2024-11-30,2024-12-02,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791213,,2024-07-21,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,68,75,,,2024-07-21,2024-09-27,2024-12-11,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791214,,2024-06-06,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,91,76,8.0,197.0,2024-06-06,2024-09-05,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791216,,2024-10-25,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,45,0,,,2024-10-25,2024-12-09,2024-12-09,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791217,,2024-06-14,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,83,76,8.0,189.0,2024-06-14,2024-09-05,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791219,,2024-10-28,,VelosoGreen,Carmo do Paranaiba/MG,Tetis Dry,0.0,45,3,,,2024-10-28,2024-12-12,2024-12-15,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791220,,2024-05-12,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,78,114,8.0,222.0,2024-05-12,2024-07-29,2024-11-20,2024-11-28,2024-12-20,,,Reversa finalizada,Fora do Prazo,,,
791225,,2024-08-26,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-08-26,,,,,,,Em viagem,Fora do Prazo,,,
791227,,2024-09-23,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,2024-09-23,,,,,,,Em viagem,Fora do Prazo,,,
791229,,2024-05-29,,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,56,0,,,2024-05-29,2024-07-24,2024-07-24,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791230,,2024-10-18,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-10-18,,,,,,,Em viagem,Fora do Prazo,,,
791231,,2024-09-10,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-09-10,,,,,,,Em viagem,Fora do Prazo,,,
791234,,2024-10-31,,Nkg,Varginha/MG,Tetis Dry,0.0,43,5,,,2024-10-31,2024-12-13,2024-12-18,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791235,,2024-10-02,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,43,8,12.0,93.0,2024-10-02,2024-11-14,2024-11-22,2024-12-04,2025-01-03,,,Reversa finalizada,Fora do Prazo,,,
791237,,2024-09-10,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-09-10,,,,,,,Em viagem,Fora do Prazo,,,
791241,,2024-11-12,,BourbonCoffe,Poços de Caldas/MG,Tetis Dry,0.0,,,,,2024-11-12,,,,,,,Em viagem,Fora do Prazo,,,
791242,,2024-11-14,,Nkg,Varginha/MG,Tetis Dry,0.0,-313,,,,2024-11-14,2024-01-06,,,,,,No destino,Fora do Prazo,,,
791243,,2024-10-09,,Nkg,Varginha/MG,Tetis Dry,0.0,44,3,,,2024-10-09,2024-11-22,2024-11-25,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
791244,,2024-11-13,,Nkg,Varginha/MG,Tetis Dry,0.0,,,,,2024-11-13,,,,,,,Em viagem,Fora do Prazo,,,
791245,,2024-09-10,,Nkg,Varginha/MG,Tetis Dry,28.0,42,7,,,2024-10-08,2024-11-19,2024-11-26,,,,,"Retirado, Ag. Envio",Fora do Prazo,,,
